"The following list of gene / proteins and technologies can be used as a reference for what current cell-based meat companies have discussed in patents / patent applications. It should not be used to understand where companies have protectability. For that, consult an IP lawyer.

Forkhead Box A2 (FOXA2),WO2018227016A1,Wild Type,Hepatogenesis,NO,,,,,
Myogenin (MyoG),WO2018227016A1,Wild Type,Myogenesis,NO,,,,,
Myogenic Differentiation 1 (MyoD),WO2018227016A1,Wild Type,Myogenesis,NO,,,,,
Myogenic Factor 6 (MRF4),WO2018227016A1,Wild Type,Myogenesis,NO,,,,,
Myogenic Factor 5 (MYF5),WO2018227016A1,Wild Type,Myogenesis,NO,,,,,
Fatty Acid Binding Protein 4 (FABP4),WO2018227016A1,Wild Type,Adipogenesis,NO,,,,,
Insulin- Responsive Glucose Transporter Type 4 (GLUT4),WO2018227016A1,Wild Type,Adipogenesis,NO,,,,,
Adiponectin,WO2018227016A1,Wild Type,Adipogenesis,NO,,,,,
C1Q And Collagen Domain Containing (ADIPOQ),WO2018227016A1,Wild Type,Adipogenesis,NO,,,,,
l-Acylglycerol-3 -Phosphate O-Acyltransferase 2 (AGPAT2),WO2018227016A1,Wild Type,Adipogenesis,NO,,,,,
Perilipin 1 (PLIN1),WO2018227016A1,Wild Type,Adipogenesis,NO,,,,,
Leptin (LEP),WO2018227016A1,Wild Type,Adipogenesis,NO,,,,,
Lipoprotein Lipase (LPL),WO2018227016A1,Wild Type,Adipogenesis,NO,,,,,
ATF4,WO2018227016A1,Wild Type,Steatosis,NO,,,,,
ZFP423,WO2018227016A1,Wild Type,Steatosis,NO,,,,,
LP EST 1,WO2018227016A1,Wild Type,Steatosis,NO,,,,,
PPARG/D/A,WO2018227016A1,Wild Type,Steatosis,NO,,,,,
APOC3,WO2018227016A1,Wild Type,Steatosis,NO,,,,,
APOE,WO2018227016A1,Wild Type,Steatosis,NO,,,,,
ORL1,WO2018227016A1,Wild Type,Steatosis,NO,,,,,
PEMT,WO2018227016A1,Wild Type,Steatosis,NO,,,,,
MTTP,WO2018227016A1,Wild Type,Steatosis,NO,,,,,
SREBPF1,WO2018227016A1,Wild Type,Steatosis,NO,,,,,
SREBPF2,WO2018227016A1,Wild Type,Steatosis,NO,,,,,
STAT3,WO2018227016A1,Wild Type,Steatosis,NO,,,,,
KLF6,WO2018227016A1,Wild Type,Steatosis,NO,,,,,
LPIN!,WO2018227016A1,Wild Type,Steatosis,NO,,,,,
"Oct3/4, ",WO2018227016A1,Wild Type,Reprogramming / iPSCs,NO,,,,,
Sox2,WO2018227016A1,Wild Type,Reprogramming / iPSCs,NO,,,,,
Klf4,WO2018227016A1,Wild Type,Reprogramming / iPSCs,NO,,,,,
L- Myc,WO2018227016A1,Wild Type,Reprogramming / iPSCs,NO,,,,,
C-Myc,WO2018227016A1,Wild Type,Reprogramming / iPSCs,NO,,,,,
N-Myc,WO2018227016A1,Wild Type,Reprogramming / iPSCs,NO,,,,,
Lin28,WO2018227016A1,Wild Type,Reprogramming / iPSCs,NO,,,,,
Nanog,WO2018227016A1,Wild Type,Reprogramming / iPSCs,NO,,,,,
GLIS1,WO2018227016A1,Wild Type,Reprogramming / iPSCs,NO,,,,,
Lin4,WO2018227016A1,Wild Type,Reprogramming / iPSCs,NO,,,,,
bFGF,WO2018227016A1,Wild Type,ESC Isolation,NO,,,,,
IGF-1,WO2018227016A1,Wild Type,ESC Isolation,NO,,,,,
mSCF,WO2018227016A1,Wild Type,ESC Isolation,NO,,,,,
IL-6,WO2018227016A1,Wild Type,ESC Isolation,NO,,,,,
OSM,WO2018227016A1,Wild Type,ESC Isolation,NO,,,,,
LIF,WO2018227016A1,Wild Type,ESC Isolation,NO,,,,,
IL-6,WO2018227016A1,Wild Type,ESC Isolation,NO,,,,,
IL-11,WO2018227016A1,Wild Type,ESC Isolation,NO,,,,,
LIF,WO2018227016A1,Wild Type,Pluripotency,NO,,,,,
p53,WO2018227016A1,Wild Type,Immortalization,NO,,,,,
SV40 Large T Antigen,WO2018227016A1,Wild Type,Immortalization,NO,,,,,
hTERT,WO2018227016A1,Wild Type,Immortalization,NO,,,,,
UPV E6/E7,WO2018227016A1,Wild Type,Immortalization,NO,,,,,
EBV,WO2018227016A1,Wild Type,Immortalization,NO,,,,,
MycT58A,WO2018227016A1,Wild Type,Immortalization,NO,,,,,
RasV12,WO2018227016A1,Wild Type,Immortalization,NO,,,,,
p27kip,WO2018227016A1,Wild Type,Immortalization,NO,,,,,
